SUPP_CODE,SUPP_NAME,BRAND_CODE,BRAND_COD2,BRAND_LINE,LINES,BRANDGROUP,GROUP,MAINGROUP,IB,TGT_QTR1,TGT_QTR2,TGT_QTR3,TGT_QTR4,TRG_TOT,SUP_TRG,RGROUP,TGROUP,RANKGRP,LINEFLAG,PRODUCT,GROUPLINES,BR_LINES,BR_CLASS,ITSUB_TYPE
16-120,PARFUMS CHRISTIAN DIOR,0100,0100,MISS DIOR,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,716072,54000,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0101,0101,DIORISSIMO,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,249642,32500,DIORISSIMO,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0102,0102,DIORELLA,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0103,0103,DIORESSENCE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0104,0104,POISON,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,397932,220000,POISON,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0105,0105,DUNE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,36742,115500,DUNE,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0106,0106,TENDRE POISON,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,TENDRE POISON,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0107,0107,DOLCE VITA,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,29080,70000,DOLCE VITA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0108,0108,DUNE - MENS,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,20633,164000,DUNE - MENS,MEN FRAGRANCES,MEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0109,0109,HYPNOTIC POISON,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,255500,HYPNOTIC POISON,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0110,0110,J'ADORE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,500469,1097000,J'ADORE,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0111,0111,REMEMBER ME,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,REMEMBER ME,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0150,0150,EAU SAUVAGE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,129500,129500,EAU S/E.S.EXTREME/JULES,MEN FRAGRANCES,MEN,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0151,0151,EAU SAUVAGE EXTREME,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,595000,595000,EAU S/E.S.EXTREME/JULES,MEN FRAGRANCES,MEN,0,,,,,
