REF_NO,REF_NO2,REF_NO3,DESCRIP,BRAND_LINE,BRAND_LIN2,SUPP_CODE,GROUP,MAINGROUP,MR_COST,AVE_COST,MR_LNDCOST,CURRENCY,UNITS,UNITS2,SUPP_UNIT,STK_LOC1,OP_AVCOST,MRK_COST,BATPROM1,PROMQTY,TOT_DAMQTY,LAST_RECDT,LAST_ISSDT,QTY_ORDER,EXPECTDTE,PRICE_WSCH,PRICE_RTCH,PRICE_VNCH,PRICE_UNIT,OPSTKLOC,OPENDTE,PURCCODE,SALECODE,IBCODE,BATCST1,BATLNDCST1,BATQTY1,BATDTE1,BATORD1,LAT_PRICE,CSOCODE,LST_INVNO,LST_GRVNO,CNT_ORIGN,DISCOUNT,OFF_PRICE,BAR_CODE,IB
CD-52589,CDIOR,F005258900,PARFUMED BODY CREAM,0100,0100,16-120D,C'DIOR,CHRISTIAN DIOR,35.63,137.997,137.997,USD,200 GMS,1,1,0,137.997,137.997,0,0,0,9/24/2006,6/19/2013,66,9/19/1993,180.2,265,0,1,0,1/1/2018,18-120,19-120,25-120,35.63,137.9971,6,9/24/2006,10-6074,21.25,,90186139,    5444,FRANCE,80,138,3348900162945,
CD-62229-9,CDIOR,F006222909,EDT NATURAL SPRAY,0100,0100,16-120,C'DIOR,CHRISTIAN DIOR,52.65,201.609,201.597,USD,50 ML,1,1,14,201.609,201.609,0,0,0,5/22/2016,3/7/2018,258,12/15/1994,256.36,377,0,1,18,1/1/2018,18-120,19-120,25-120,52.65,201.5969,25,5/22/2016,10-2831,45.31,,9049113,    5819,FRANCE,0,0,3348900142305,
CD-62249-9,CDIOR,F006224909,EDT NATURAL SPRAY,0100,0100,16-120,C'DIOR,CHRISTIAN DIOR,75.42,288.813,288.783,USD,100 ML,1,1,9,288.813,288.813,0,0,0,5/22/2016,3/18/2018,312,11/30/1994,367.2,540,0,1,13,1/1/2018,18-120,19-120,25-120,75.42,288.7832,25,5/22/2016,10-2831,64.8,,9049113,    5819,FRANCE,0,0,3348900142312,
CD-6822,CDIOR,F006822009,EDT ATOM,0102,0102,16-120D,C'DIOR,CHRISTIAN DIOR,32.67,114.987,127.147,USD,50 ML,1,1,2,114.987,114.987,0,0,0,8/4/2008,4/23/2014,285,2/25/1991,178.84,263,0,1,2,1/1/2018,18-120,19-120,25-120,32.67,127.1474,18,8/4/2008,10-7116,14.05,,9049113,    5819,FRANCE,80,115,3348900012424,
CD-6824,CDIOR,F006824009,EDT ATOM,0102,0102,16-120,C'DIOR,CHRISTIAN DIOR,75.42,286.905,288.783,USD,100 ML,1,1,3,286.905,286.905,0,0,0,1/28/2016,3/11/2018,258,2/25/1991,367.2,540,0,1,3,1/1/2018,18-120,19-120,25-120,75.42,288.7832,16,1/28/2016,10-2606,21.9,,9049113,    5819,FRANCE,0,0,3348900012455,
CD-6322,CDIOR,F006322009,EDT NATURAL SPRAY,0104,0104,16-120,C'DIOR,CHRISTIAN DIOR,52.65,200.805,201.597,USD,50 ML,1,1,31,200.805,200.805,0,0,0,2/18/2016,12/8/2017,2299,2/25/1991,256.36,377,0,1,31,1/1/2018,18-120,19-120,25-120,52.65,201.5969,24,2/18/2016,10-2639,21.03,,9049113,    5819,FRANCE,0,0,3348900011632,
CD-6324,CDIOR,F006324009,EDT NATURAL SPRAY,0104,0104,16-120,C'DIOR,CHRISTIAN DIOR,75.42,288.401,288.783,USD,100 ML,1,1,26,288.401,288.401,0,0,0,3/8/2016,1/3/2018,829,2/25/1991,367.2,540,0,1,28,1/1/2018,18-120,19-120,25-120,75.42,288.7832,24,3/8/2016,10-2663,66.55,,9049113,    5819,FRANCE,0,0,3348900011687,
CD-5958,CDIOR,F005958000,PERFUMED BODY CREAM,0105,0105,16-120D,C'DIOR,CHRISTIAN DIOR,35.63,127.981,138.219,USD,200 ML,1,1,2,127.981,127.981,0,0,0,9/30/2007,1/7/2014,246,10/1/1994,195.16,287,0,1,2,1/1/2018,18-120,19-120,25-120,35.63,138.2191,3,9/30/2007,10-6623,22.58,,90530547,    5866,FRANCE,80,128,3348900131958,
CD-5964-9,CDIOR,F005964009,PERFUMED DEODORANT,0105,0105,16-120D,C'DIOR,CHRISTIAN DIOR,12.79,45.262,49.61,USD,100 ML,1,1,1,45.262,45.262,0,0,0,11/3/2004,1/6/2011,51,10/1/1994,89.76,132,0,1,1,1/1/2018,18-120,19-120,25-120,12.79,49.6096,3,11/3/2004,10-5068,11.24,,90610128,    5966,FRANCE,80,45,3348900010550,
CD-6922-9,CDIOR,F006922009,EDT NATURAL SPRAY,0105,0105,16-120,C'DIOR,CHRISTIAN DIOR,52.65,200.432,201.65,USD,50 ML,1,1,5,200.432,200.432,0,0,0,12/24/2015,2/2/2018,1845,7/15/1994,256.36,377,0,1,7,1/1/2018,18-120,19-120,25-120,52.65,201.6495,25,12/24/2015,10-2532,45.31,,90610128,    5966,FRANCE,0,0,3348900103856,
