LOCATION,TYPE,DTE,VOUNO,REF_NO,PRICE_COST,QTY,UNITS,CATAGORY,DFLAG,AV_COST,WS_COST,RT_COST,SALE_COST,SUP_CUS,SUPP_CODE,BRAND_CODE,REF_NO2,ENTRYDTE,SALEMAN
1,5,1/10/2018,21810001,CD-001600009,200,2,1,,,106.946,136,200,0,STKTR6,16-120,0100,CDIOR,,
1,5,1/10/2018,21810001,CD-000950000,178,3,1,,,95.214,121.04,178,0,STKTR6,16-120,0140,SECTION S,,
1,5,1/10/2018,21810001,CD-005744000,242,2,1,,,124.815,164.56,242,0,STKTR6,16-120,0150,CDIOR,,
1,5,1/10/2018,21810001,CD-057014000,313,2,1,,,166.995,212.84,313,0,STKTR6,16-120,0150,CDIOR,,
1,5,1/10/2018,21810001,CD-008224109,659,3,1,,,344.459,448.12,659,0,STKTR6,16-120,0154,CDIOR,,
1,5,1/10/2018,21810001,CD-000947000,178,2,1,,,86.681,121.04,178,0,STKTR6,16-120,0159,SECTION S,,
1,5,1/10/2018,21810001,CD-001800000,168,1,1,,,89.232,114.24,168,0,STKTR6,16-120,0159,SECTION S,,
1,5,1/10/2018,21810001,CD-015620091,228,1,1,,,113.208,155.04,228,0,STKTR6,16-120,0182,SECTION S,,
1,5,1/10/2018,21810001,CD-918254000,512,2,1,,,273.883,348.16,512,0,STKTR6,16-120,0204,SECTION S,,
1,5,1/10/2018,21810001,CD-088035001,202,1,1,,,108.062,137.36,202,0,STKTR6,16-120,0211,SECTION S,,
1,5,1/10/2018,21810001,CD-028512364,149,1,1,,,78.431,101.32,149,0,STKTR6,16-120,0235,SECTION S,,
1,5,1/10/2018,21810001,CD-002445000,172,1,1,,,91.953,116.96,172,0,STKTR6,16-120,0306,CDIOR,,
1,5,1/10/2018,21810001,CD-071240035,243,2,1,,,129.978,165.24,243,0,STKTR6,16-120,0370,SECTION S,,
1,5,1/10/2018,21810002,CD-088060001,213,1,1,,,112.174,144.84,213,0,STKTR14,16-120,0211,CDIOR,,
1,5,1/10/2018,21810002,CD-002763750,190,2,1,,,101.388,129.2,190,0,STKTR14,16-120,0225,SECTION S,,
1,5,1/10/2018,21810002,CD-2760-009,190,1,1,,,97.94,129.2,190,0,STKTR14,16-120,0225,CDIOR,,
1,5,1/10/2018,21810002,CD-077102001,128,1,1,,,68.463,87.04,128,0,STKTR14,16-120,0235,SECTION S,,
1,5,1/10/2018,21810002,CD-002782365,173,1,1,,,91.227,117.64,173,0,STKTR14,16-120,0243,SECTION S,,
1,5,1/10/2018,21810002,CD-029433000,691,1,1,,,350.032,469.88,691,0,STKTR14,16-120,0347,SECTION S,,
