LOCATION,TYPE,DTE,VOUNO,SUPP_CUSTM,TOTAMOUNT,DISCOUNT,DISC_ADDED,OTHER_CHRG,ORDER_REF,LC_NO,INVNO,EXCH_RATE,LND_RATE,CREDITCODE,SALES_MAN,SPARE,STVDESTIN,ORDTYPE,ORDER_REF2,ENTRYDTE,CLIENT,CARD,ORDER_REF3,ADDRESS,TEL
1,5,1/10/2018,21810001,,6806,0,0,0,,,,0,0,5,,,6,1,,,,,,,
1,5,1/10/2018,21810002,,11244,0,0,0,,,,0,0,5,,,14,1,,,,,,,
1,5,1/11/2018,21810003,,5907,0,0,0,,,,0,0,5,,,16,1,,,,,,,
1,5,1/11/2018,21810004,,2544,0,0,0,,,,0,0,5,,,16,1,,,,,,,
1,5,1/11/2018,21810005,,20417,0,0,0,,,,0,0,5,,,16,1,,,,,,,
1,5,1/14/2018,21810006,,4060,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/14/2018,21810007,,12777,0,0,0,,,,0,0,5,,,14,1,,,,,,,
1,5,1/14/2018,21810008,,5733,0,0,0,,,,0,0,5,,,16,1,,,,,,,
1,5,1/14/2018,21810009,,8076,0,0,0,,,,0,0,5,,,19,1,,,,,,,
1,5,1/14/2018,21810010,,2505,0,0,0,,,,0,0,5,,,8,1,,,,,,,
22,5,1/14/2018,21810011,,330,0,0,0,,,,0,0,5,,,8,1,,,,,,,
16,5,1/14/2018,21810012,,720,0,0,0,,,,0,0,5,,,8,1,,,,,,,
6,5,1/14/2018,21810013,,330,0,0,0,,,,0,0,5,,,8,1,,,,,,,
14,5,1/14/2018,21810014,,778,0,0,0,,,,0,0,5,,,8,1,,,,,,,
19,5,1/14/2018,21810015,,884,0,0,0,,,,0,0,5,,,8,1,,,,,,,
1,5,1/14/2018,21810016,,16338,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/14/2018,21810017,,7772,0,0,0,,,,0,0,5,,,8,1,,,,,,,
1,5,1/14/2018,21810018,,3667,0,0,0,,,,0,0,5,,,8,1,,,,,,,
8,5,1/15/2018,21810019,,608,0,0,0,,,,0,0,5,,,1,1,,,,,,,
1,5,1/15/2018,21810020,,1500,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/15/2018,21810021,,0,0,0,0,,,,0,0,5,,,8,1,,,,,,,
1,5,1/15/2018,21810022,,41042,0,0,0,,,,0,0,5,,,8,1,,,,,,,
1,5,1/15/2018,21810023,,15359,0,0,0,,,,0,0,5,,,8,1,,,,,,,
1,5,1/15/2018,21810024,,0,0,0,0,,,,0,0,5,,,19,1,,,,,,,
1,5,1/15/2018,21810025,,0,0,0,0,,,,0,0,5,,,19,1,,,,,,,
